date,ARIMA_mean,lo80,hi80,lo95,hi95,AR20
2026-06-16,2375.0,2333.1,2416.9,2310.93,2439.07,2367.95
2026-06-17,2375.0,2315.75,2434.25,2284.39,2465.61,2382.96
2026-06-18,2375.0,2302.44,2447.56,2264.02,2485.98,2389.16
2026-06-19,2375.0,2291.21,2458.79,2246.85,2503.15,2406.49
2026-06-22,2375.0,2281.32,2468.68,2231.73,2518.27,2415.2
2026-06-23,2375.0,2272.38,2477.62,2218.05,2531.95,2411.04
2026-06-24,2375.0,2264.16,2485.84,2205.48,2544.52,2428.46
2026-06-25,2375.0,2256.5,2493.5,2193.77,2556.23,2430.2
2026-06-26,2375.0,2249.31,2500.69,2182.78,2567.22,2431.09
2026-06-29,2375.0,2242.52,2507.48,2172.38,2577.62,2424.77
2026-06-30,2375.0,2236.05,2513.95,2162.49,2587.51,2433.8
2026-07-01,2375.0,2229.87,2520.13,2153.04,2596.96,2444.49
2026-07-02,2375.0,2223.94,2526.06,2143.98,2606.02,2452.62
2026-07-03,2375.0,2218.24,2531.76,2135.26,2614.74,2458.02
2026-07-06,2375.0,2212.74,2537.26,2126.85,2623.15,2463.89
2026-07-07,2375.0,2207.42,2542.58,2118.71,2631.29,2463.21
2026-07-08,2375.0,2202.26,2547.74,2110.82,2639.18,2475.15
2026-07-09,2375.0,2197.25,2552.75,2103.16,2646.84,2487.79
2026-07-10,2375.0,2192.38,2557.62,2095.71,2654.29,2494.44
2026-07-13,2375.0,2187.64,2562.36,2088.46,2661.54,2504.41
2026-07-14,2375.0,2183.01,2566.99,2081.38,2668.62,2509.89
2026-07-15,2375.0,2178.49,2571.51,2074.47,2675.53,2517.57
2026-07-16,2375.0,2174.08,2575.92,2067.72,2682.28,2522.68
2026-07-17,2375.0,2169.76,2580.24,2061.11,2688.89,2527.5
2026-07-20,2375.0,2165.52,2584.48,2054.63,2695.37,2535.49
2026-07-21,2375.0,2161.38,2588.62,2048.29,2701.71,2544.91
2026-07-22,2375.0,2157.31,2592.69,2042.07,2707.93,2551.03
2026-07-23,2375.0,2153.31,2596.69,2035.96,2714.04,2555.7
2026-07-24,2375.0,2149.39,2600.61,2029.95,2720.05,2560.98
2026-07-27,2375.0,2145.53,2604.47,2024.06,2725.94,2569.32
